what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448796328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448814777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448815624
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448816686
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1509448817062
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448818421
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448819164
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448819561
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448819753
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448819936
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448820152
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448820339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448824711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448826001
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1509448828209
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1509448828406
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1509448828407
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1509448830093
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1509448830214
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1509448831903
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1509448831903
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1509448832927
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1509448832928
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1509448836288
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1509448836303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448844826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448858213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448858842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448889924
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1509448890274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448900408
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1509448932517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448935635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448942564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448958030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509448960199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449071625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449075593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449081693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449084824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449130051
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1509449140076
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1509449156929
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1509449157124
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1509449157270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1509449172632
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1509449173936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449192303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449208037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449208719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509449218203
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1509449218322
